id,ENG,HIN
6144,L E N I N _ P E A C E _ P R I Z E,ल े न ि न _ प ी स _ प ् र ा इ ज़
6145,Q A Y A M A T _ S E _ Q A Y A M A T _ T A K,क ़ य ा म त _ स े _ क ़ य ा म त _ त क
6146,P U R A N D A R,प ु र ं द र
6147,P U R A N D A R,प ु र न ् द र
6148,A N T A R A,अ ं त र ा
6149,M A R K _ H I G G S,म ा र ् क _ ह ि ग ् स
6150,A L A N _ W E L L S,ऐ ल न _ व े ल ् स
6151,S W I N G,स ् व ि ं ग
6152,H E E R A _ P A N N A,ह ी र ा _ प न ् न ा
6153,R A N K S,र ै ं क ् स
6154,V A R T H A M A N A M,व र ् त म ा न म
6155,F O U R _ C O N T I N E N T S _ F I G U R E _ S K A T I N G _ C H A M P I O N S,फ ो र _ क ॉ न ट ि न े ं ट ् ‍ स _ फ ि ग र _ स ् क े ट ि ं ग _ च ै ं प ि य न ् स
6156,P A N C H A Y A T,प ं च ा य त
6157,J A N E L L E,ज ै न े ल
6158,S A R A B D E V,स र ब द े व
6159,G A L L A N T S _ B O W E R,ग ै ल ं ट ् ‍ स _ ब ॉ व र
6160,E L A I N E,ए ल े न ा
6161,I N S A A F _ K I _ P U K A R,इ ं स ा फ _ क ी _ प ु क ा र
6162,A R I S H T A N E M I,अ र ि ष ् ट न े म ि
6163,A T A L O,ए ट ल ो
6164,W O R L D W I D E,व र ् ल ् ड व ा इ ड
6165,P A R I N D A,प र ि ं द ा
6166,W A R _ C R O S S _ W I T H _ S W O R D,व ा र _ क ् र ा स _ व ि द _ स ् व ॉ र ् ड
6167,S T E V E _ W O N D E R,स ् ट ी व _ व ॉ न ् ड र
6168,C E R A G O N _ N E T W O R K S,स े र ा ग ॉ न _ न े ट व र ् क ् स
6169,N O O R J E H A N,न ू र ज ह ा ँ
6170,S L O N E,स ् ल ो न
6171,S O O R M A _ B H O P A L I,स ू र म ा _ भ ो प ा ल ी
6172,J A G A D I P,ज ग द ि प
6173,A L A N _ D A W S O N,ऐ ल न _ ड ॉ स न
6174,B A L V A N,ब ल व ा न
6175,A R U N,अ र ु ण
6176,Y A M A S H I R O,य म ा श ि र ो
6177,E Z R A _ M O S E L E Y,ए ज़ ् र ा _ म ो स े ल े
6178,B U Z D I L,ब ु ज़ द ि ल
6179,J A M I L A H,ज म ी ल ा ह
6180,J A L E E L,ज ल ी ल
6181,N A Z M U L _ H O S S A I N,न ज़ ् म ु ल _ ह ु स ै न
6182,M O Z A M B I K,म ो ज ़ ा म ् ब ि क
6183,J A G A N M A Y,ज ग न ् म य
6184,Y V E S,व े स
6185,F A T I H,फ त ि ह
6186,P A T T Y,प ै ट ी
6187,E D I T H,ए ड ि थ
6188,K Y Z Y L - K U M,क ा ई ज ़ ल - क ु म
6189,A N S A R,अ ं स ा र
6190,A B D U L _ G A F F A A R,अ ब ् द ु ल _ ग फ ् फ ा र
6191,R A A H U L,र ा ह ु ल
6192,A A M N E _ S A M N E,आ म न े _ स ा म न े
6193,N I V R I T T I,न ि व ृ त ् त ि
6194,N A R E N D R A _ H I R W A N I,न र े ं द ् र _ ह ि र व ा न ी
6195,M O U N T _ O L Y M P U S,म ा उ ं ट _ ओ ल ि ं प स
6196,V A N S H A V A R D H A N,व ं श व र ् ध न
6197,S H A B A N A M,श ब न म
6198,I N ' A M,इ न आ म
6199,R O B B I E _ K E R R,र ॉ ब ी _ क े र
6200,W A R _ O F _ T H E _ S E C O N D _ C O A L I T I O N,व ा र _ ऑ फ _ द _ स े क ं ड _ क ॉ ल ि श न
6201,B A N T H R A,ब ं थ र ा
6202,W Y C L I F F,व ा य क ् ल ि फ
6203,S O M A D E V,स ो म द े व
6204,L A Y A R,ल ा य र
6205,D U D H W A K H A R A,द ु ध व ा ख र ा
6206,L I B E R T Y _ S H O E S,ल ि ब र ् ट ी _ श ू ज ़
6207,V I N C I,व ि ं स ी
6208,S A J J A D _ A K B A R,स ज ् ज ा द _ अ क ब र
6209,S U N _ M I C R O S Y S T E M S,स न _ म ा इ क ् र ो स ि स ् ट म
6210,D U R D A N A H,द र ् द न ा ह
6211,C H I R A N J E E V I,च ि र ं ज ी व ी
6212,A G N I K A A L,अ ग ् न ि क ा ल
6213,B A W E J A,ब व े ज ा
6214,A D I T Y A P U R,आ द ि त ् य प ु र
6215,B H I T A U R A,भ ि ट ौ र ा
6216,J A N S A T T A,ज न स त ् त ा
6217,K O R A P U T,क ो र ा प ु ट
6218,T Y A G A R A J A R,त ् य ा ग र ा ज ा र
6219,M I T E S H,म ि त े श
6220,F O R D _ M O T O R,फ ़ ो र ् ड _ म ो ट र
6221,D H O L A K,ढ ो ल क
6222,M E R I _ A W A A Z _ S U N O,म े र ी _ आ व ा ज ़ _ स ु न ो
6223,D A V I D _ B R A I N,ड े व ि ड _ ब ् र े न
6224,C H I K O D I _ R O A D,च ि क ो ड ़ ी _ र ो ड
6225,N A T I O N A L _ P U B L I C _ S C H O O L,न े श न ल _ प ब ् ल ि क _ स ् क ू ल
6226,T R I S H A,त ृ श ा
6227,T R I S H A,त ् र ि श ा
6228,E V E R L Y,ए व र ल ी
6229,A N G A R I K A,अ ं ग ा र ि क ा
6230,W E S T _ S A R G U J A,व े स ् ट _ स र ग ु ज ा
6231,K R I S A L Y N,क ् र ि स ल ि न
6232,P A T K I,प त ् क ि
6233,A M E E R I _ G A R E E B I,अ म ी र ी _ ग र ी ब ी
6234,I N D O M P T A B L E,इ ं ड ो म ् ट े ब ल
6235,F L E X _ I N D U S T R I E S,फ ़ ् ल े क ् स _ इ ं ड स ् ट ् र ी ज ़
6236,K A H I N _ A U R _ C H A L,क ह ी ं _ औ र _ च ल
6237,K _ S E R A _ S E R A,क े _ स े र ा _ स े र ा
6238,S W A M I _ D A D A,स ् व ा म ी _ द ा द ा
6239,S A A Z,स ा ज़
6240,D O U G,ड ू ग
6241,O R C H A R D S _ C O M M U N I T Y,ऑ र ् च र ् ड ् स _ क म ् य ु न ि ट ी
6242,Q A T I L,क ा त ि ल
6243,L O K M A T,ल ो क म त
6244,H I R A,ह ी र ा
6245,N A A Z,न ा ज़
6246,A T M A N A N D,आ त ् म ा न ं द
6247,M I R A,म ि र ा
6248,A A D H I _ Y U G,आ ध ी _ य ु ग
6249,V I M O G H,व ि म ो घ
6250,S H U ' A A,श ु आ
6251,O L D E N B E R G,ऑ ड े न ब र ् ग
6252,B E R D E,ब े र ् ड े
6253,R I N G O _ S T A R,र ि ं ग ो _ स ् ट ा र
6254,Z A P O R I Z H I A N _ S I C H,ज ़ ै प ो र ी ज ़ ि आ न _ स ि च
6255,J O V A N N A,ज ो व न ् न ा
6256,K A L I M O H A N,क ा ल ि म ो ह न
6257,U K K U S I K S A L I K,उ क ् क ु स ि क ् स ा ल ि क
6258,B O N Y _ B L A I R,ब ो न ी _ ब ् ल े य र
6259,M A N A M A U J E E,म न म ौ ज ी
6260,S P R A G U E,स ् प ् र े ग ु ए
6261,A V R I L,ए व ् र ि ल
6262,B I R A D A R I,ब ि र ा द र ी
6263,A D A S _ R O A D,आ द स _ र ो ड
6264,B H A T P U R,भ ट प ु र
6265,C H E T T I N A D,च े त ् त ि न ा द
6266,T A M E E M,त म ी म
6267,C H A K R I _ N A R E U B E T,च ा क र ी _ न र ु ब े ट
6268,G U R U D W A R A _ O M K A R E S H W A R,ग ु र ू द ् व ा र ा _ ओ ं क ा र े श व र
6269,M I S S _ I N D I A,म ि स _ इ ं ड ि य ा
6270,T O S A,ट ो स ा
6271,M A Q I L,म क़ ि ल
6272,H A R R Y _ T R U M A N,ह ै र ी _ ट ् र ु म ॅ न
6273,B H A T I A,भ ा ट ि य ा
6274,D A V I D S O N,ड े व ि ड स न
6275,B A G E V A D I,ब ा ग े व द ी
6276,C O R E T T A _ S C O T T _ K I N G,क ो र ी ट ा _ स ् क ॉ ट _ क ि ं ग
6277,S U R D A S,स ू र द ा स
6278,A P A R A J I T A,अ प र ा ज ि त ा
6279,G A R Y _ C R O C K E R,ग ै र ी _ क ् र ॉ क र
6280,J O N _ K E N T,ज ॉ न _ क े ं ट
6281,P A R A M,प र म
6282,A J M E R _ J U N C T I O N,अ ज म े र _ ज ं क ् श न
6283,G A R C H A,ग र च ा
6284,N A V E D _ A S H R A F,न ा व े द _ अ श र फ
6285,A A T H A L E K A R,आ ठ ल े क र
6286,C H O R V A D _ R O A D,च ो र व ड ़ _ र ो ड
6287,D I L _ K I _ R A H E N,द ि ल _ क ी _ र ा ह े ं
6288,A N I L,अ न ि ल
6289,O N _ T R A C K _ I N N O V A T I O N S,ऑ न _ ट ् र े क _ इ न ो व े श न
6290,A R S H A D,अ र ् श द
6291,G R A N D E _ S E R T A O _ V E R E D A S,ग ् र ै ं ड _ स े र ट ा ओ _ व े र ी ड ा स
6292,P H I R _ J A N A M _ L E N G E _ H U M,फ ि र _ ज न म _ ल े ं ग े _ ह म
6293,S H I R L Y N,श ि र ् ल ि न
6294,U N I V E R S I T Y _ O F _ N E V A D A,य ू न ि व र ् स ि ट ी _ ऑ फ _ न े व ा ड ा
6295,G U R U D W A R A _ S A H I B D E W A,ग ु र ू द ् व ा र ा _ स ा ह ि ब द े व ा
6296,H I G H _ I S L A N D _ R E S E R V O I R,ह ा ई _ आ इ ल ै ं ड _ र ि ज़ र व ा य र
6297,S U G A N D H,स ु ग ं ध
6298,Z U I H O,ज ़ ु इ ह ो
6299,D E S H P A N D E,द े श प ा ं ड े
6300,P R I T H V I _ V A L L A B H,प ृ थ ् व ी _ व ल ् ल भ
6301,S A W A A L,स व ा ल
6302,J A N K I,ज ा न क ी
6303,S H A H A N S H A A H,श ह ं श ा ह
6304,V E N G E A N C E,व े ं ज ि आ ं स
6305,B E R A H A M _ D A K U,ब े र ह म _ ड ा क ू
6306,V E R R I L L,व े र ि ल
6307,V A R A J,व र ज
6308,A B H I M A N,अ भ ि म ा न
6309,K Y N T O N,क ि ं ट न
6310,N I A Z _ A N D _ N A M A Z,न ि य ा ज़ _ ए ण ् ड _ न म ा ज़
6311,L E M H I,ल े म ् ह ी
6312,P U R K A R,प ू र क र
6313,S U R A S A K H A A,स ु र स ख ा
6314,D O _ D U S H M A N,द ो _ द ु श ् म न
6315,S T R O M B O L I,स ् ट ् र ो म ् ब ो ल ि
6316,N E E L _ K A M A L,न ी ल _ क म ल
6317,D O _ M A S T A N E,द ो _ म स ् त ा न े
6318,I N D E F A T I G A B L E,इ ं ड ि फ े ट ि ज े ब ल
6319,E L S A S S,ए ल ् स ा स
6320,J E A N E T T E,ज ी न े ट
6321,J A W A N I _ K I _ B H O O L,ज व ा न ी _ क ी _ भ ू ल
6322,R A A D H A A,र ा ध ा
6323,S I T A R,स ि त ा र
6324,D H A U R A,ध ौ र ा
6325,B U R R E N,ब र े न
6326,C H A A D,च ा ड
6327,T R I P T A,त ृ प ् त ा
6328,M A A N _ A P M A A N,म ा न _ अ प म ा न
6329,M A A L A A K A A R,म ा ल ा क ा र
6330,S A R A L,स र ल
6331,G H A M A N D E E,घ म ं ड ी
6332,A L P E S H _ V A D H E R,अ ल ् प े श _ व ा ढ ़ े र
6333,L E S L E Y,ल े स ् ल ी
6334,P E H L I _ J H A L A K,प ह ल ी _ झ ल क
6335,P R I T H V I _ P U T R A,प ृ थ ् व ी _ प ु त ् र
6336,B I N A _ J U N C T I O N,ब ी न ा _ ज ं क ् श न
6337,B A X U R,ब क ् स र
6338,O S S A M A,ओ स ा म ा
6339,G O R A K H P U R,ग ो र ख प ु र
6340,R A N B A X Y _ L A B S,र ै न ब ै क ् स ी _ ल ै ब ् स
6341,F I S H I N G,फ ि श ि ं ग
6342,B A N B H A T T A,ब ा ण भ ट ् ट
6343,N A R A D _ L E E L A,न ा र द _ ल ी ल ा
6344,R A A K H,र ा ख ़
6345,B H A A R A T E E Y,भ ा र त ी य
6346,S A R O J A,स र ो ज ा
6347,T A H I R _ K H A N,त ा ह ि र _ ख ा न
6348,I B N _ K H A F I F,इ ब ् न _ ख फ ी फ
6349,M A L A Y A,म ल य ा
6350,A N A S T A S I A,ए न े स ् ट े स ि य ा
6351,T A R A N,त ा र न
6352,B H O K E,भ ो क
6353,C L A Y,क ् ल े
6354,G O P I K A,ग ो प ि क ा
6355,D H A R M E N D U,ध र ् म े ं द ु
6356,K A S A M _ P A I D A _ K A R N E _ W A L E _ K I,क स म _ प ै द ा _ क र न े _ व ा ल े _ क ी
6357,M A N C H E S T E R,म ॅ न ् च े स ् ट र
6358,F A K H R U D D I N _ I R A Q I,फ क र ू द ् द ी न _ इ र ा क ी
6359,G H U Z A Y Y A H,ग ़ ु ज़ य ् य ा ह
6360,M A L A G A,म ल ा ग ा
6361,M A R S A B I T _ A N D _ R E S E R V E,म ा र स ा ब ि ट _ ए ण ् ड _ र ि ज ़ र ् व
6362,D R U P A D,द ् र ु प द
6363,M A D E L I A,म ै ड े ल ि य ा
6364,S Y E D _ A K H T A R _ I M A M _ Q U A D R I,स य ् य द _ अ ख ् त र _ इ म ा म _ क़ ा द र ी
6365,A L E X A,अ ल े क ् स ा
6366,P H I L _ D E F R E I T A S,फ ि ल _ ड े फ ् र े ट ा स
6367,T O M M Y,ट ॉ म ी
6368,S T A C I E,स ् ट े स ी
6369,E M A S,इ म स
6370,T H A R Y A,थ ा र ् य ा
6371,P E E T A A,प ी त ा
6372,K A L B I,क ल ् ब ि
6373,A A C H A R Y N A N D A N A,आ च ा र ् य न ं द न ा
6374,P A R S H U R A M,प र श ु र ा म
6375,S H A I L I,श ै ल ी
6376,A B D U R _ R A Q E E B,अ ब ् द ु र _ र क ी ब
6377,A M A L,अ म ल
6378,P A T H A K,प ा ठ क
6379,S T R A I T _ O F _ M A G E L L A N,स ् ट ् र े ट _ ऑ फ _ म े ग ॅ ल न
6380,D O O D H _ K A _ K A R Z,द ू ध _ क ा _ क र ् ज ़
6381,B A L K H A S H,ब ल ख श
6382,G E O R G E _ W A S H I N G T O N,ज ॉ र ् ज _ व ॉ श ि ं ग ् ट न
6383,S I N S A P A,स ि ं स प ा
6384,K H I R A S H,ख ि र ा श
6385,A N C H A L,अ ं च ल
6386,A N C H A L,आ ँ च ल
6387,D O L P H,ड ॉ ल ् फ
6388,Y U K O N,य ू क ॉ न
6389,B E K R A R,ब े क र ा र
6390,D O R E L _ I N D U S T R I E S,ड ॉ र े ल _ इ ं ड स ् ट ् र ी ज
6391,J A T I N,ज त ि न
6392,"W E L H A M _ G I R L S ' _ H I G H _ S C H O O L , _ D E H R A D U N","व े ल ् ह ै म _ ग र ् ल ् स _ ह ा ई _ स ् क ू ल , _ द े ह र ा द ू न"
6393,G O L A _ G O K A R A N A T H,ग ो ल ा _ ग ो क र न ा थ
6394,A A S H I Q _ H O O N _ B A H A R O N _ K A,आ श ि क _ ह ू ँ _ ब ह ा र ो ं _ क ा
6395,R Y A N _ C A M P B E L L,र ि य ा न _ क े म ् प ब े ल
6396,W A L T E R,व ा ल ् ट र
6397,M O N I C A _ L E W I N S K Y,म ो न ि क ा _ ल ु इ ं स ् क ी
6398,M O R O N I,म ो र ो न ी
6399,O O S _ R A A T _ K E _ B A A D,उ स _ र ा त _ क े _ ब ा द
6400,A M A L S A D,अ म ल स द
6401,A F A F U R A,अ फ ा फ ु र ा
6402,M A H A S H W E T A _ D E V I,म ह ा श ् व े त ा _ द े व ी
6403,A S U N C I O N,ए स ु स ि आ न
6404,N E O D Y M I U M,न ी य ो ड ि म ि य म
6405,D H A R A M _ K A N T A,ध र म _ क ा ँ ट ा
6406,B H I M A N A,भ ि म ा न ा
6407,V I H U E L A,व ि ह ु ए ल ा
6408,D A M N A G A R,द ा म न ग र
6409,M R A D U L A T A A,म ृ द ु ल त ा
6410,T H O M A S _ P A I N E,थ ॉ म स _ प े न
6411,B U N D E S V E R D I E N S T K R E U Z,ब ू ं द े स ् व े र द ी ं स ् त क ् र ु ज़
6412,T E S S A,ट े स ा
6413,O L I V E R,ओ ल ि व र
6414,O L I V E R,ऑ ल ि व र
6415,A N G A G,अ ं ग ग
6416,Q U I N T A N A _ M A R I T I M E _ L I M I T E D,क ् व ी ं ट ा न ा _ म ै र ी ट ा इ म _ ल ि म ि ट े ड
6417,A N G A D,अ ं ग द
6418,C H A L _ C H A L _ R E _ N A U J A W A N,च ल _ च ल _ र े _ न ौ ज व ा न
6419,P E E L A A,प ी ल ा
6420,A B D U L _ M U H A S I N,अ ब ् द ु ल _ म ु ह ा स ि न
6421,B U R J _ A L _ A R A B _ H O T E L,ब ु र ् ज _ अ ल _ अ र ब _ ह ो ट े ल
6422,U L F A H,उ ल ् फ ा ह
6423,N E E L A N J A N,न ी ल ा ं ज न
6424,B R U C E _ B L A I R,ब ् र ू स _ ब ् ल े अ र
6425,F O R T _ T O W N S E N D,फ ो र ् ट _ ट ा उ न स े ं ड
6426,K A I S E _ K A I S E _ L O G,क ै स े _ क ै स े _ ल ो ग
6427,A B D U S _ S A L A A M,अ ब ् द ु स _ स ल ा म
6428,P U N A R _ M I L A N,प ु न र _ म ि ल न
6429,M A R A T H I,म र ा ठ ी
6430,S A K E T,स ा क े त
6431,S A L I L _ A N K O L A,स ल ि ल _ अ ं क ो ल ा
6432,V A C H S P A T I,व ा च स ् प त ि
6433,D H I Y A,ध ि य ा
6434,K A R S A N _ G H A V R I,क र ् स न _ घ ा व र ी
6435,J E S L Y N,ज े स ल ि न
6436,J O _ A N G E L,ज ॉ _ ए ं ज े ल
6437,P Y A R _ K A _ M A U S A M,प ् य ा र _ क ा _ म ौ स म
6438,E C U A D O R,इ क ् व ा ड ो र
6439,E C U A D O R,इ क ् व े ड ो र
6440,V E N K A T E S H W A R,व े ं क ट े श ् व र
6441,D E V R A J,द े व र ा ज
6442,I O N A,इ ओ न ा
6443,S A C H C H E _ M O T I,स च ् च े _ म ो त ी
6444,J A N A K,ज न क
6445,M E R A _ S A L A A M,म े र ा _ स ल ा म
6446,G U A D A L U P E,ग ु ड ा ल ु प े
6447,G U I N E S S _ W O R L D _ O F _ R E C O R D _ M U S E U M,ग ‍ ि न ी ज _ व र ् ल ् ड _ ऑ फ _ र े क ॉ र ् ड ् स _ म ् य ु ज़ ि य म
